      447.7974393053    -1.4255264928e+06
      448.4874198301    -1.4255265253e+06
      449.1781087538    -1.4255265571e+06
      449.8695064397    -1.4255265881e+06
      450.5616132515    -1.4255266185e+06
      451.2544295524    -1.4255266482e+06
      451.9479557061    -1.4255266772e+06
      452.6421920760    -1.4255267055e+06
      453.3371390255    -1.4255267332e+06
      454.0327969181    -1.4255267602e+06
      454.7291661172    -1.4255267864e+06
      455.4262469865    -1.4255268121e+06
      456.1240398892    -1.4255268370e+06
      456.8225451889    -1.4255268613e+06
      457.5217632491    -1.4255268850e+06
      458.2216944332    -1.4255269079e+06
      458.9223391046    -1.4255269303e+06
      459.6236976269    -1.4255269519e+06
      460.3257703636    -1.4255269729e+06
      461.0285576780    -1.4255269933e+06
      461.7320599337    -1.4255270130e+06
      462.4362774941    -1.4255270321e+06
      463.1412107227    -1.4255270506e+06
      463.8468599829    -1.4255270684e+06
      465.2603080523    -1.4255271022e+06
      465.9681075883    -1.4255271181e+06
      466.6766246098    -1.4255271334e+06
      467.3858594804    -1.4255271481e+06
      468.0958125634    -1.4255271622e+06
      468.8064842224    -1.4255271756e+06
      469.5178748208    -1.4255271885e+06
      470.2299847220    -1.4255272007e+06
      470.9428142896    -1.4255272124e+06
      471.6563638869    -1.4255272234e+06
      472.3706338776    -1.4255272339e+06
      473.0856246250    -1.4255272437e+06
      473.8013364926    -1.4255272529e+06
      474.5177698438    -1.4255272616e+06
      475.2349250422    -1.4255272697e+06
      475.9528024513    -1.4255272771e+06
      476.6714024344    -1.4255272840e+06
      477.3907253550    -1.4255272903e+06
      478.1107715767    -1.4255272961e+06
      478.8315414629    -1.4255273012e+06
      479.5530353770    -1.4255273058e+06
      480.2752536825    -1.4255273099e+06
      480.9981967429    -1.4255273133e+06
      481.7218649217    -1.4255273162e+06
      482.4462585823    -1.4255273185e+06
      483.1713780881    -1.4255273203e+06
      483.8972238028    -1.4255273215e+06
      484.6237960896    -1.4255273222e+06
      485.3510953122    -1.4255273223e+06
      486.0791218339    -1.4255273218e+06
      486.8078760183    -1.4255273208e+06
      487.5373582287    -1.4255273193e+06
      488.2675688287    -1.4255273172e+06
      488.9985081818    -1.4255273146e+06
      489.7301766513    -1.4255273115e+06
      490.4625746009    -1.4255273078e+06
      491.1957023938    -1.4255273036e+06
      491.9295603937    -1.4255272988e+06
      492.6641489639    -1.4255272936e+06
      493.3994684680    -1.4255272878e+06
      494.1355192694    -1.4255272815e+06
      494.8723017315    -1.4255272747e+06
      495.6098162179    -1.4255272673e+06
      496.3480630920    -1.4255272595e+06
      497.0870427173    -1.4255272511e+06
      497.8267554573    -1.4255272423e+06
      498.5672016753    -1.4255272329e+06
      499.3083817350    -1.4255272230e+06
      500.0502959996    -1.4255272127e+06
      500.7929448329    -1.4255272018e+06
      501.5363285980    -1.4255271904e+06
      502.2804476587    -1.4255271786e+06
      503.0253023783    -1.4255271662e+06
      503.7708931202    -1.4255271534e+06
      504.5172202481    -1.4255271401e+06
      506.0120851151    -1.4255271120e+06
      506.7606235813    -1.4255270973e+06
      507.5098998873    -1.4255270821e+06
      508.2599143964    -1.4255270664e+06
      509.0106674722    -1.4255270502e+06
      509.7621594781    -1.4255270336e+06
      510.5143907777    -1.4255270164e+06
      511.2673617343    -1.4255269989e+06
      512.0210727114    -1.4255269809e+06
      512.7755240725    -1.4255269624e+06
      513.5307161811    -1.4255269434e+06
      514.2866494007    -1.4255269240e+06
      515.0433240947    -1.4255269042e+06
      515.8007406265    -1.4255268839e+06
      516.5588993597    -1.4255268631e+06
      517.3178006577    -1.4255268419e+06
      518.0774448839    -1.4255268203e+06
      518.8378324019    -1.4255267982e+06
      519.5989635752    -1.4255267757e+06
      520.3608387671    -1.4255267528e+06
      521.1234583412    -1.4255267294e+06
      521.8868226608    -1.4255267056e+06
      522.6509320896    -1.4255266813e+06
      523.4157869909    -1.4255266566e+06
      524.1813877283    -1.4255266315e+06
      524.9477346651    -1.4255266060e+06
      525.7148281649    -1.4255265801e+06
      526.4826685911    -1.4255265537e+06
      527.2512563073    -1.4255265269e+06
      528.0205916767    -1.4255264997e+06
      528.7906750630    -1.4255264721e+06
      529.5615068296    -1.4255264441e+06
